"PLAYER","injuries","missed_games","travel_games","total_travel","played_games_48h","played_games_72h","played_games_7d","games_count","games_played","player_position","total_min","avg_perc_min","height","weight","salary","salary_claimed","age_season","wins","win_pct","ave_win_pct","matches_played_att","avg_attendance","missed_games_injury_att","avg_attendance_missed","n_returns","geo_att_return","wins_without","SGV_missed","player_win_factor","player_attendance_factor","win_pct_with","win_pct_without","attend_with","attend_without","games_with","games_without"
"Kobi Simmons",0,0,55,1375.37635558032,0.0609756097560976,0.0975609756097561,0.146341463414634,82,5,"SG",27.7666666666667,0.115694444444444,77,166,32795,0,25.5263518138261,1,0.2,0.0199719902974132,5,17663.8,77,17572.4285714286,4,0.0087298598467429,26,654401360.618,1.68831168831169,0.994827192983875,0.2,0.337662337662338,17663.8,17572.4285714286,5,77
"Kris Dunn",0,0,55,13130.6853744135,0.292682926829268,0.48780487804878,0.902439024390244,82,22,"PG",567.533333333334,0.537436868686869,75,205,1000001,0,28.8227241615332,8,0.363636363636364,0.127516640980513,21,18073.1904761905,60,18030.5166666667,20,0.00212875568393978,29,587723155.405,1.32916666666667,0.997638833631504,0.363636363636364,0.483333333333333,18073.1904761905,18030.5166666667,22,60
"Kristaps Porzingis",7,8,60,28382.8490145759,0.951219512195122,1.39024390243902,2.80487804878049,82,65,"C",2119.51666666667,0.679332264957265,86,240,33833400,3300819.51219512,27.4483230663929,27,0.415384615384615,0.385748041282806,65,17374.5384615385,17,18178.6470588235,64,0.00484615615112682,8,162557870.373,1.13289760348584,1.04628086087381,0.415384615384615,0.470588235294118,17374.5384615385,18178.6470588235,65,17
"Kyle Anderson",1,12,54,37035.4074045046,0.975308641975309,1.48148148148148,2.96296296296296,81,68,"PF",1932.46666666667,0.592054738562092,81,230,8780487.99999999,1300813.03703704,29.3127994524298,35,0.514705882352941,0.419510199206613,68,17141.3088235294,13,17170.8461538462,67,0.00152502584782455,6,96240129.03,0.896703296703297,1.00172316656918,0.514705882352941,0.461538461538462,17141.3088235294,17170.8461538462,68,13
"Kyle Kuzma",5,18,60,28052.715674772,0.926829268292683,1.36585365853659,2.78048780487805,82,64,"PF",2238.85,0.728792317708333,81,221,1.3e+07,2853658.53658537,27.4729637234771,29,0.453125,0.377362544133655,64,17457.3125,18,17839.6666666667,63,0.00333074877258155,6,157411098.024,0.735632183908046,1.02190223533357,0.453125,0.333333333333333,17457.3125,17839.6666666667,64,18
"Kyle Lowry",3,24,53,32369.6988424384,0.780487804878049,1.18292682926829,2.42682926829268,82,55,"PG",1717.73333333333,0.650656565656566,72,196,28333334,8292683.12195122,36.8035592060233,30,0.545454545454545,0.306662732926036,55,18880,27,19330.3333333333,54,0.000275753059067352,14,376678898.678,0.950617283950617,1.02385240112994,0.545454545454545,0.518518518518518,18880,19330.3333333333,55,27
"Kyrie Irving",7,11,55,27601.2293341875,0.8875,1.2875,2.6625,80,60,"PG",2240.58333333333,0.777980324074074,74,195,38917057,5351095.3375,30.807665982204,32,0.533333333333333,0.401435652290011,60,18505.6166666667,20,18255.2,59,0.00201308935525457,9,326277587.134,0.84375,0.986468072305976,0.533333333333333,0.45,18505.6166666667,18255.2,60,20
"LaMelo Ball",6,33,55,16831.9287741222,0.5,0.817073170731707,1.60975609756098,82,36,"PG",1267.75,0.73365162037037,79,180,8623920,3470601.95121951,21.3921971252567,13,0.361111111111111,0.117091459304227,36,17861.4722222222,46,17356.152173913,35,-0.00919786693614399,14,387223979.485,0.842809364548495,0.971708936305906,0.361111111111111,0.304347826086957,17861.4722222222,17356.152173913,36,46
"Lamar Stevens",1,7,56,27705.8864040084,0.878048780487805,1.34146341463415,2.73170731707317,82,62,"SF",1120.5,0.376512096774194,78,230,1782621,152174.963414634,25.5126625598905,39,0.629032258064516,0.471575724651589,62,18761.6290322581,20,17794,61,-0.00134058235050571,12,308874964.468,0.953846153846154,0.948425105805346,0.629032258064516,0.6,18761.6290322581,17794,62,20
"Landry Shamet",6,42,56,20568.8873188518,0.548780487804878,0.902439024390244,1.80487804878049,82,40,"SG",806.95,0.420286458333334,76,190,9499999.99999997,4865853.65853657,25.8357289527721,19,0.475,0.303222670122486,40,17556.375,42,17802.6904761905,39,-0.00283265786666442,26,755924159.533,1.30325814536341,1.0140299735105,0.475,0.619047619047619,17556.375,17802.6904761905,40,42
"Larry Nance Jr.",1,17,53,29422.1163543,0.890243902439024,1.42682926829268,2.81707317073171,82,65,"C",1380.866666643,0.442585470077885,80,245,9672727.0028,2005321.4518,30.0301163586585,34,0.523076923076923,0.456882659284612,65,17303.9846153846,17,17753.9411764706,64,0.000824433453527229,8,211058324.55,0.899653979238754,1.02600306062951,0.523076923076923,0.470588235294118,17303.9846153846,17753.9411764706,65,17
"Lauri Markkanen",6,13,55,37768.5073869545,0.951219512195122,1.45121951219512,2.91463414634146,82,66,"PF",2272.48333333333,0.717324284511784,84,240,16475454,2611962.21951219,25.6440793976728,32,0.484848484848485,0.462565742811561,65,18052.6615384615,16,17996.5625,64,-0.000412107141769424,5,141271676.76,0.64453125,0.99689247824527,0.484848484848485,0.3125,18052.6615384615,17996.5625,66,16
"LeBron James",4,26,52,31544.9110700575,0.780487804878049,1.19512195121951,2.3780487804878,82,55,"PF",1953.93333333333,0.740126262626263,81,250,44474988,14101825.4634146,38.0355920602327,30,0.545454545454545,0.259779285456412,55,18827,27,18428.037037037,54,0.000933028788869361,13,494120463.865,0.882716049382716,0.978808999683276,0.545454545454545,0.481481481481481,18827,18428.037037037,55,27
"Leandro Bolmaro",2,6,55,6467.74494420881,0.195121951219512,0.304878048780488,0.573170731707317,82,14,"SF",68.4833333333333,0.101909722222222,78,200,1709300,125070.731707317,22.3367556468172,8,0.571428571428571,0.0987794805398266,14,18259.9285714286,67,17995.9552238806,13,0,29,635669245.483,0.746323529411765,0.985543571733297,0.571428571428571,0.426470588235294,18259.9285714286,17995.9552238806,14,68
"Lester Quinones",0,0,9,1503.6729411622,0.333333333333333,0.5,0.75,12,4,"SG",18.1166666666666,0.0943576388888888,77,208,129405,0,22.1560574948665,4,1,0.210669191919192,4,18528,8,18379.25,3,0.0298604749579841,4,159721614.93,0.5,0.991971610535406,1,0.5,18528,18379.25,4,8
"Lindell Wigginton",0,0,59,5046.95255519809,0.0975609756097561,0.146341463414634,0.280487804878049,82,7,"PG",86.6666666666667,0.257936507936508,74,189,99438.0000000003,0,24.7953456536619,4,0.571428571428571,0.0613290086918526,7,18395.5714285714,75,17868.7333333333,6,0.0349712239858491,54,1333121813.297,1.26,0.971360601801158,0.571428571428571,0.72,18395.5714285714,17868.7333333333,7,75
"Lindy Waters III",0,0,57,25177.9629195394,0.585365853658537,0.878048780487805,1.71951219512195,82,41,"SG",530.816666666666,0.26972391598916,78,215,2316876,0,25.460643394935,20,0.48780487804878,0.21960563831489,41,17095.6341463415,41,16416.4146341463,40,-0.00462474720970751,20,314773527.686,1,0.960269416952838,0.48780487804878,0.48780487804878,17095.6341463415,16416.4146341463,41,41
